,Sourceid,Title,Type,Issn,SJR,SJR Best Quartile,H index,Issn1,Issn2
68,29949,Journal of Clinical Oncology,journal,"15277755, 0732183X",10.639,Q1,624,15277755,0732183X
69,20206,Academy of Management Review,journal,03637425,10.486,Q1,306,03637425,
70,24212,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,conference and proceedings,10636919,10.331,-,531,10636919,
71,71056,MMWR Surveillance Summaries,journal,"15458636, 15460738",10.275,Q1,121,15458636,15460738
72,6100153018,Cell Stem Cell,journal,"19345909, 18759777",10.253,Q1,305,19345909,18759777
73,21100237403,"Lancet Diabetes and Endocrinology,The",journal,"22138595, 22138587",10.247,Q1,173,22138595,22138587
74,21100780831,Nature Reviews Disease Primers,journal,2056676X,10.215,Q1,186,2056676X,
75,28677,Living Reviews in Relativity,journal,"14338351, 23673613",10.188,Q1,93,14338351,23673613
76,13969,Psychological Science in the Public Interest,journal,"21600031, 15291006",9.887,Q1,60,21600031,15291006
77,25297,Journal of Hepatology,journal,"16000641, 01688278",9.857,Q1,301,16000641,01688278
78,19700188417,Annual Review of Condensed Matter Physics,journal,"19475454, 19475462",9.821,Q1,87,19475454,19475462
79,16801,Annual Review of Biochemistry,journal,"15454509, 00664154",9.745,Q1,321,15454509,00664154
80,17700156208,Nature Reviews Gastroenterology and Hepatology,journal,"17595045, 17595053",9.741,Q1,193,17595045,17595053
81,26756,Astronomy and Astrophysics Review,journal,"09354956, 14320754",9.664,Q1,78,09354956,14320754
82,20313,Nature Reviews Microbiology,journal,"17401534, 17401526",9.639,Q1,372,17401534,17401526
83,21101049051,Nature Reviews Earth and Environment,journal,2662138X,9.521,Q1,67,2662138X,
84,13900,Cell Research,journal,"17487838, 10010602",9.506,Q1,216,17487838,10010602
85,12010,Annual Review of Psychology,journal,"00664308, 15452085",9.438,Q1,279,00664308,15452085
86,21100804406,"Lancet Public Health, The",journal,24682667,9.434,Q1,90,24682667,
87,18606,Molecular Cell,journal,"10974164, 10972765",9.332,Q1,443,10974164,10972765
88,19881,Advanced Materials,journal,"09359648, 15214095",9.191,Q1,640,09359648,15214095
89,28973,Journal of Econometrics,journal,"03044076, 18726895",9.161,Q1,188,03044076,18726895
90,17700156773,Synthesis Lectures on Artificial Intelligence and Machine Learning,book series,"19394616, 19394608",9.129,Q1,30,19394616,19394608
